created,text,retwc,hashtag,followers,friends,polarity,sentiment
11/13/2019 10:06,b'#TheSkyIsPink\xc2\xa0\xc2\xa0\xc2\xa0Week5 in a few screens!! 24cr+ at BO! #SteadyRun \n\nWeek1 17.52cr\nWeek2 5.60cr\nWeek3 0.83cr\nWeek4 0.\xe2\x80\xa6 https://t.co/3k6rDzK0Rh',0,TheSkyIsPink,1436,28,-0.2,0
11/13/2019 9:42,b'RT @guptairesh: my little something on #TheSkyIsPink by Shonali Bose. @priyankachopra @FarOutAkhtar @ZairaWasimmm @RSVPMovies @roykapurfilm\xe2\x80\xa6',26,TheSkyIsPink,163,141,-0.1875,0
11/13/2019 9:01,b'RT @guptairesh: my little something on #TheSkyIsPink by Shonali Bose. @priyankachopra @FarOutAkhtar @ZairaWasimmm @RSVPMovies @roykapurfilm\xe2\x80\xa6',26,TheSkyIsPink,318,292,-0.1875,0
11/13/2019 8:52,b'RT @guptairesh: my little something on #TheSkyIsPink by Shonali Bose. @priyankachopra @FarOutAkhtar @ZairaWasimmm @RSVPMovies @roykapurfilm\xe2\x80\xa6',26,TheSkyIsPink,127,192,-0.1875,0
11/13/2019 8:37,b'RT @guptairesh: my little something on #TheSkyIsPink by Shonali Bose. @priyankachopra @FarOutAkhtar @ZairaWasimmm @RSVPMovies @roykapurfilm\xe2\x80\xa6',26,TheSkyIsPink,58,271,-0.1875,0
11/13/2019 8:01,b'Is there anything more beautiful than a colourful morning sky!? \xf0\x9f\x98\x8d #TheSkyIsPink #BeautifulSky\xe2\x80\xa6 https://t.co/f1HkvBBNiP',0,TheSkyIsPink,79,201,0.675,4
11/13/2019 7:49,b'RT @guptairesh: my little something on #TheSkyIsPink by Shonali Bose. @priyankachopra @FarOutAkhtar @ZairaWasimmm @RSVPMovies @roykapurfilm\xe2\x80\xa6',26,TheSkyIsPink,72,53,-0.1875,0
11/13/2019 5:53,b'RT @guptairesh: my little something on #TheSkyIsPink by Shonali Bose. @priyankachopra @FarOutAkhtar @ZairaWasimmm @RSVPMovies @roykapurfilm\xe2\x80\xa6',26,TheSkyIsPink,314,517,-0.1875,0
11/13/2019 5:10,b'RT @guptairesh: my little something on #TheSkyIsPink by Shonali Bose. @priyankachopra @FarOutAkhtar @ZairaWasimmm @RSVPMovies @roykapurfilm\xe2\x80\xa6',26,TheSkyIsPink,51,186,-0.1875,0
11/13/2019 4:12,b'RT @guptairesh: my little something on #TheSkyIsPink by Shonali Bose. @priyankachopra @FarOutAkhtar @ZairaWasimmm @RSVPMovies @roykapurfilm\xe2\x80\xa6',26,TheSkyIsPink,695,959,-0.1875,0
11/13/2019 4:04,b'RT @PRDMovieReviews: HUGE \xf0\x9f\x94\xa5\xf0\x9f\x94\xa5#TheSkyIsPink will be the opening film of #R2RFIFF2019\xf0\x9f\x91\x8f\n\nDirected by #ShonaliBose.\nFt.@priyankachopra @FarOutAk\xe2\x80\xa6',29,TheSkyIsPink,1436,28,0.4,4
11/13/2019 3:10,b'RT @guptairesh: my little something on #TheSkyIsPink by Shonali Bose. @priyankachopra @FarOutAkhtar @ZairaWasimmm @RSVPMovies @roykapurfilm\xe2\x80\xa6',26,TheSkyIsPink,320,214,-0.1875,0
11/13/2019 2:57,b'RT @guptairesh: my little something on #TheSkyIsPink by Shonali Bose. @priyankachopra @FarOutAkhtar @ZairaWasimmm @RSVPMovies @roykapurfilm\xe2\x80\xa6',26,TheSkyIsPink,1238,56,-0.1875,0
11/12/2019 23:26,"b""RT @baradwajrangan: 'Magic hour' shot. Clicked by @iamsuds in the hills of Dharamsala.\n\n#photography #pahaadDaysNight #theSkyIsPink https:/\xe2\x80\xa6""",1,photography,978,279,0.5,4
11/12/2019 23:25,b'RT @jayantadas100: #TheSkyIsPink LIVE Box Office Details \xe2\xac\x87\xef\xb8\x8f\n@priyankachopra @TeamPriyanka \nhttps://t.co/5bsfoPQ3O7',1,TheSkyIsPink,978,279,0.136363636,4
11/12/2019 23:12,b'RT @guptairesh: my little something on #TheSkyIsPink by Shonali Bose. @priyankachopra @FarOutAkhtar @ZairaWasimmm @RSVPMovies @roykapurfilm\xe2\x80\xa6',26,TheSkyIsPink,63,44,-0.1875,0
11/12/2019 23:00,b'RT @guptairesh: my little something on #TheSkyIsPink by Shonali Bose. @priyankachopra @FarOutAkhtar @ZairaWasimmm @RSVPMovies @roykapurfilm\xe2\x80\xa6',26,TheSkyIsPink,978,279,-0.1875,0
11/12/2019 22:59,b'RT @guptairesh: my little something on #TheSkyIsPink by Shonali Bose. @priyankachopra @FarOutAkhtar @ZairaWasimmm @RSVPMovies @roykapurfilm\xe2\x80\xa6',26,TheSkyIsPink,664,200,-0.1875,0
11/12/2019 21:23,b'RT @guptairesh: my little something on #TheSkyIsPink by Shonali Bose. @priyankachopra @FarOutAkhtar @ZairaWasimmm @RSVPMovies @roykapurfilm\xe2\x80\xa6',26,TheSkyIsPink,1530,2183,-0.1875,0
11/12/2019 21:17,b'RT @guptairesh: my little something on #TheSkyIsPink by Shonali Bose. @priyankachopra @FarOutAkhtar @ZairaWasimmm @RSVPMovies @roykapurfilm\xe2\x80\xa6',26,TheSkyIsPink,98,130,-0.1875,0
11/12/2019 18:35,b'RT @priyankachopra: Talking #TheSkyIsPink(after Hot Ones wings \xf0\x9f\x94\xa5) on @FallonTonight at 11:35pm EST on NBC! Hot sauce 400x spicier than a ja\xe2\x80\xa6',517,TheSkyIsPink,38,199,0.25,4
11/12/2019 18:25,b'RT @guptairesh: my little something on #TheSkyIsPink by Shonali Bose. @priyankachopra @FarOutAkhtar @ZairaWasimmm @RSVPMovies @roykapurfilm\xe2\x80\xa6',26,TheSkyIsPink,1620,1351,-0.1875,0
11/12/2019 18:07,b'RT @guptairesh: my little something on #TheSkyIsPink by Shonali Bose. @priyankachopra @FarOutAkhtar @ZairaWasimmm @RSVPMovies @roykapurfilm\xe2\x80\xa6',26,TheSkyIsPink,19,20,-0.1875,0
11/12/2019 18:05,b'RT @guptairesh: my little something on #TheSkyIsPink by Shonali Bose. @priyankachopra @FarOutAkhtar @ZairaWasimmm @RSVPMovies @roykapurfilm\xe2\x80\xa6',26,TheSkyIsPink,370,60,-0.1875,0
11/12/2019 17:42,b'RT @guptairesh: my little something on #TheSkyIsPink by Shonali Bose. @priyankachopra @FarOutAkhtar @ZairaWasimmm @RSVPMovies @roykapurfilm\xe2\x80\xa6',26,TheSkyIsPink,29,18,-0.1875,0
11/12/2019 17:22,b'RT @guptairesh: my little something on #TheSkyIsPink by Shonali Bose. @priyankachopra @FarOutAkhtar @ZairaWasimmm @RSVPMovies @roykapurfilm\xe2\x80\xa6',26,TheSkyIsPink,23,139,-0.1875,0
11/12/2019 17:05,b'RT @guptairesh: my little something on #TheSkyIsPink by Shonali Bose. @priyankachopra @FarOutAkhtar @ZairaWasimmm @RSVPMovies @roykapurfilm\xe2\x80\xa6',26,TheSkyIsPink,79,200,-0.1875,0
11/12/2019 16:55,b'RT @guptairesh: my little something on #TheSkyIsPink by Shonali Bose. @priyankachopra @FarOutAkhtar @ZairaWasimmm @RSVPMovies @roykapurfilm\xe2\x80\xa6',26,TheSkyIsPink,221,411,-0.1875,0
11/12/2019 16:27,b'RT @guptairesh: my little something on #TheSkyIsPink by Shonali Bose. @priyankachopra @FarOutAkhtar @ZairaWasimmm @RSVPMovies @roykapurfilm\xe2\x80\xa6',26,TheSkyIsPink,862,237,-0.1875,0
11/12/2019 16:26,b'RT @guptairesh: my little something on #TheSkyIsPink by Shonali Bose. @priyankachopra @FarOutAkhtar @ZairaWasimmm @RSVPMovies @roykapurfilm\xe2\x80\xa6',26,TheSkyIsPink,169,200,-0.1875,0
11/12/2019 16:23,b'RT @guptairesh: my little something on #TheSkyIsPink by Shonali Bose. @priyankachopra @FarOutAkhtar @ZairaWasimmm @RSVPMovies @roykapurfilm\xe2\x80\xa6',26,TheSkyIsPink,89,57,-0.1875,0
11/12/2019 16:00,b'RT @PritamFC: Weekend is here - Go to @ZeeMusicCompany YouTube channel and watch/Listen all #TheSkyIsPink full song videos now \n\n#DilHiTohH\xe2\x80\xa6',1,TheSkyIsPink,356,412,0.35,4
11/12/2019 15:53,b'RT @PRDMovieReviews: #TheSkyIsPink\xc2\xa0\xc2\xa0Week5 in a few screens!! 24cr+ at BO! #SteadyRun \n\nWeek1 17.52cr\nWeek2 5.60cr\nWeek3 0.83cr\nWeek4 0.36cr\xe2\x80\xa6',19,TheSkyIsPink,1436,28,-0.2,0
11/12/2019 14:35,b'my little something on #TheSkyIsPink by Shonali Bose. @priyankachopra @FarOutAkhtar @ZairaWasimmm @RSVPMovies\xe2\x80\xa6 https://t.co/cA0ueufQk7',26,TheSkyIsPink,531,584,-0.1875,0
11/12/2019 13:35,"b""We have learnt that @FarOutAkhtar has booked a whole floor at the #GoldenTobaccoFactory for a year! Here's Why \xf0\x9f\x98\xaf\xe2\x80\xa6 https://t.co/sIbDwlAdVd""",0,GoldenTobaccoFactory,531910,692,0.2,4
11/12/2019 12:40,"b'Saw #TheSkyIsPink at the kickoff of @NycSaff last night and, as always, Shonali Bose is brilliant. So many things a\xe2\x80\xa6 https://t.co/YFRoa7WFsC'",0,TheSkyIsPink,723,534,0.466666667,4
11/12/2019 9:42,b'RT @priyankachopra: Proud moment to be promoting #TheSkyIsPink on The @todayshow.\n\nIn cinemas October 11 \xf0\x9f\x92\x95\n@rsvpmovies @roykapurfilms @Purp\xe2\x80\xa6',250,TheSkyIsPink,14508,13451,0.8,4
11/12/2019 9:39,b'RT @priyankachopra: Thank you so much for loving our film \xf0\x9f\x92\x95 #TheSkyIsPink \nIn cinemas tomorrow!\n\n@FarOutAkhtar @ZairaWasimmm #RohitSaraf #S\xe2\x80\xa6',207,TheSkyIsPink,14508,13451,0.4,4
11/12/2019 9:37,b'RT @priyankachopra: Waiting to present our labor of love!!! #TheSkyIsPink \nIn cinemas tomorrow!\nBook tickets here https://t.co/za74zav55Y\xe2\x80\xa6',190,TheSkyIsPink,1288,5002,0.25,4
11/12/2019 9:37,b'RT @priyankachopra: Talking #TheSkyIsPink(after Hot Ones wings \xf0\x9f\x94\xa5) on @FallonTonight at 11:35pm EST on NBC! Hot sauce 400x spicier than a ja\xe2\x80\xa6',517,TheSkyIsPink,1288,5002,0.25,4
11/12/2019 5:40,b'RT @PRDMovieReviews: #TheSkyIsPink\xc2\xa0\xc2\xa0Week5 in a few screens!! 24cr+ at BO! #SteadyRun \n\nWeek1 17.52cr\nWeek2 5.60cr\nWeek3 0.83cr\nWeek4 0.36cr\xe2\x80\xa6',19,TheSkyIsPink,314,517,-0.2,0
11/12/2019 5:08,b'RT @PRDMovieReviews: #TheSkyIsPink\xc2\xa0\xc2\xa0Week5 in a few screens!! 24cr+ at BO! #SteadyRun \n\nWeek1 17.52cr\nWeek2 5.60cr\nWeek3 0.83cr\nWeek4 0.36cr\xe2\x80\xa6',19,TheSkyIsPink,200,58,-0.2,0
11/12/2019 5:06,b'RT @PRDMovieReviews: #TheSkyIsPink\xc2\xa0\xc2\xa0Week5 in a few screens!! 24cr+ at BO! #SteadyRun \n\nWeek1 17.52cr\nWeek2 5.60cr\nWeek3 0.83cr\nWeek4 0.36cr\xe2\x80\xa6',19,TheSkyIsPink,68,71,-0.2,0
11/12/2019 5:05,b'RT @PRDMovieReviews: #TheSkyIsPink\xc2\xa0\xc2\xa0Week5 in a few screens!! 24cr+ at BO! #SteadyRun \n\nWeek1 17.52cr\nWeek2 5.60cr\nWeek3 0.83cr\nWeek4 0.36cr\xe2\x80\xa6',19,TheSkyIsPink,33,55,-0.2,0
11/12/2019 5:02,b'RT @PRDMovieReviews: #TheSkyIsPink\xc2\xa0\xc2\xa0Week5 in a few screens!! 24cr+ at BO! #SteadyRun \n\nWeek1 17.52cr\nWeek2 5.60cr\nWeek3 0.83cr\nWeek4 0.36cr\xe2\x80\xa6',19,TheSkyIsPink,442,410,-0.2,0
11/12/2019 4:44,b'RT @PRDMovieReviews: #TheSkyIsPink\xc2\xa0\xc2\xa0Week5 in a few screens!! 24cr+ at BO! #SteadyRun \n\nWeek1 17.52cr\nWeek2 5.60cr\nWeek3 0.83cr\nWeek4 0.36cr\xe2\x80\xa6',19,TheSkyIsPink,169,200,-0.2,0
11/12/2019 4:38,b'RT @PRDMovieReviews: #TheSkyIsPink\xc2\xa0\xc2\xa0Week5 in a few screens!! 24cr+ at BO! #SteadyRun \n\nWeek1 17.52cr\nWeek2 5.60cr\nWeek3 0.83cr\nWeek4 0.36cr\xe2\x80\xa6',19,TheSkyIsPink,370,60,-0.2,0
11/12/2019 4:35,b'RT @PRDMovieReviews: #TheSkyIsPink\xc2\xa0\xc2\xa0Week5 in a few screens!! 24cr+ at BO! #SteadyRun \n\nWeek1 17.52cr\nWeek2 5.60cr\nWeek3 0.83cr\nWeek4 0.36cr\xe2\x80\xa6',19,TheSkyIsPink,862,237,-0.2,0
11/12/2019 4:21,b'Loved an insight from the director #shonalibose about the #making of her film #TheSkyIsPink at NYC\xe2\x80\xa6 https://t.co/LFY4ZobSo0',0,shonalibose,175,325,0.7,4
11/12/2019 4:11,b'RT @PRDMovieReviews: #TheSkyIsPink\xc2\xa0\xc2\xa0Week5 in a few screens!! 24cr+ at BO! #SteadyRun \n\nWeek1 17.52cr\nWeek2 5.60cr\nWeek3 0.83cr\nWeek4 0.36cr\xe2\x80\xa6',19,TheSkyIsPink,18,66,-0.2,0
11/12/2019 4:00,"b""'Magic hour' shot. Clicked by @iamsuds in the hills of Dharamsala.\n\n#photography #pahaadDaysNight #theSkyIsPink https://t.co/or9WEJEnbC""",1,photography,62503,1000,0.5,4
11/12/2019 3:57,b'RT @PRDMovieReviews: #TheSkyIsPink\xc2\xa0\xc2\xa0Week5 in a few screens!! 24cr+ at BO! #SteadyRun \n\nWeek1 17.52cr\nWeek2 5.60cr\nWeek3 0.83cr\nWeek4 0.36cr\xe2\x80\xa6',19,TheSkyIsPink,33,91,-0.2,0
11/12/2019 3:56,b'RT @PRDMovieReviews: #TheSkyIsPink\xc2\xa0\xc2\xa0Week5 in a few screens!! 24cr+ at BO! #SteadyRun \n\nWeek1 17.52cr\nWeek2 5.60cr\nWeek3 0.83cr\nWeek4 0.36cr\xe2\x80\xa6',19,TheSkyIsPink,26,93,-0.2,0
11/12/2019 3:54,b'RT @PRDMovieReviews: #TheSkyIsPink\xc2\xa0\xc2\xa0Week5 in a few screens!! 24cr+ at BO! #SteadyRun \n\nWeek1 17.52cr\nWeek2 5.60cr\nWeek3 0.83cr\nWeek4 0.36cr\xe2\x80\xa6',19,TheSkyIsPink,26,67,-0.2,0
11/12/2019 3:52,b'RT @PRDMovieReviews: #TheSkyIsPink\xc2\xa0\xc2\xa0Week5 in a few screens!! 24cr+ at BO! #SteadyRun \n\nWeek1 17.52cr\nWeek2 5.60cr\nWeek3 0.83cr\nWeek4 0.36cr\xe2\x80\xa6',19,TheSkyIsPink,22,40,-0.2,0
11/12/2019 3:50,b'RT @PRDMovieReviews: #TheSkyIsPink\xc2\xa0\xc2\xa0Week5 in a few screens!! 24cr+ at BO! #SteadyRun \n\nWeek1 17.52cr\nWeek2 5.60cr\nWeek3 0.83cr\nWeek4 0.36cr\xe2\x80\xa6',19,TheSkyIsPink,19,52,-0.2,0
11/12/2019 3:49,b'RT @PRDMovieReviews: #TheSkyIsPink\xc2\xa0\xc2\xa0Week5 in a few screens!! 24cr+ at BO! #SteadyRun \n\nWeek1 17.52cr\nWeek2 5.60cr\nWeek3 0.83cr\nWeek4 0.36cr\xe2\x80\xa6',19,TheSkyIsPink,31,109,-0.2,0
11/12/2019 3:46,b'RT @PRDMovieReviews: #TheSkyIsPink\xc2\xa0\xc2\xa0Week5 in a few screens!! 24cr+ at BO! #SteadyRun \n\nWeek1 17.52cr\nWeek2 5.60cr\nWeek3 0.83cr\nWeek4 0.36cr\xe2\x80\xa6',19,TheSkyIsPink,17,54,-0.2,0
11/12/2019 2:44,b'RT @PRDMovieReviews: #TheSkyIsPink\xc2\xa0\xc2\xa0Week5 in a few screens!! 24cr+ at BO! #SteadyRun \n\nWeek1 17.52cr\nWeek2 5.60cr\nWeek3 0.83cr\nWeek4 0.36cr\xe2\x80\xa6',19,TheSkyIsPink,17,48,-0.2,0
11/12/2019 2:44,b'RT @PRDMovieReviews: #TheSkyIsPink\xc2\xa0\xc2\xa0Week5 in a few screens!! 24cr+ at BO! #SteadyRun \n\nWeek1 17.52cr\nWeek2 5.60cr\nWeek3 0.83cr\nWeek4 0.36cr\xe2\x80\xa6',19,TheSkyIsPink,15,41,-0.2,0
11/12/2019 2:42,b'#TheSkyIsPink\xc2\xa0\xc2\xa0Week5 in a few screens!! 24cr+ at BO! #SteadyRun \n\nWeek1 17.52cr\nWeek2 5.60cr\nWeek3 0.83cr\nWeek4 0.3\xe2\x80\xa6 https://t.co/v855eO6Dwg',19,TheSkyIsPink,1436,28,-0.2,0
11/11/2019 21:13,"b""RT @PC_LOVE_Europe: Let's all have a minute of silence for all us Europeans who are yet to watch #TheSkyIsPink ONE FULL MONTH AFTER ITS REL\xe2\x80\xa6""",10,TheSkyIsPink,261,102,0.425,4
11/11/2019 20:38,"b""RT @PC_LOVE_Europe: Let's all have a minute of silence for all us Europeans who are yet to watch #TheSkyIsPink ONE FULL MONTH AFTER ITS REL\xe2\x80\xa6""",10,TheSkyIsPink,224,508,0.425,4
11/11/2019 19:56,b'RT @PRDMovieReviews: HUGE \xf0\x9f\x94\xa5\xf0\x9f\x94\xa5#TheSkyIsPink will be the opening film of #R2RFIFF2019\xf0\x9f\x91\x8f\n\nDirected by #ShonaliBose.\nFt.@priyankachopra @FarOutAk\xe2\x80\xa6',29,TheSkyIsPink,98,130,0.4,4
11/11/2019 18:47,"b""RT @PC_LOVE_Europe: Let's all have a minute of silence for all us Europeans who are yet to watch #TheSkyIsPink ONE FULL MONTH AFTER ITS REL\xe2\x80\xa6""",10,TheSkyIsPink,14,52,0.425,4
11/11/2019 18:21,b'RT @PRDMovieReviews: HUGE \xf0\x9f\x94\xa5\xf0\x9f\x94\xa5#TheSkyIsPink will be the opening film of #R2RFIFF2019\xf0\x9f\x91\x8f\n\nDirected by #ShonaliBose.\nFt.@priyankachopra @FarOutAk\xe2\x80\xa6',29,TheSkyIsPink,722,600,0.4,4
11/11/2019 18:04,"b""RT @PC_LOVE_Europe: Let's all have a minute of silence for all us Europeans who are yet to watch #TheSkyIsPink ONE FULL MONTH AFTER ITS REL\xe2\x80\xa6""",10,TheSkyIsPink,392,273,0.425,4
11/11/2019 17:54,"b""RT @PC_LOVE_Europe: Let's all have a minute of silence for all us Europeans who are yet to watch #TheSkyIsPink ONE FULL MONTH AFTER ITS REL\xe2\x80\xa6""",10,TheSkyIsPink,1620,1351,0.425,4
11/11/2019 17:45,"b""RT @PC_LOVE_Europe: Let's all have a minute of silence for all us Europeans who are yet to watch #TheSkyIsPink ONE FULL MONTH AFTER ITS REL\xe2\x80\xa6""",10,TheSkyIsPink,996,170,0.425,4
11/11/2019 17:29,b'RT @Make_MyKaraoke: Song Name: Zindagi\nMovie/Album: The Sky Is Pink\nSinger(s) : Arijit Singh\nhttps://t.co/HsMuiXl69L\n\n@priyankachopra #TheS\xe2\x80\xa6',1,None,46,444,-0.1,0
11/11/2019 17:28,"b""RT @PC_LOVE_Europe: Let's all have a minute of silence for all us Europeans who are yet to watch #TheSkyIsPink ONE FULL MONTH AFTER ITS REL\xe2\x80\xa6""",10,TheSkyIsPink,314,517,0.425,4
11/11/2019 17:21,"b""RT @PC_LOVE_Europe: Let's all have a minute of silence for all us Europeans who are yet to watch #TheSkyIsPink ONE FULL MONTH AFTER ITS REL\xe2\x80\xa6""",10,TheSkyIsPink,14,78,0.425,4
11/11/2019 17:19,"b""RT @PC_LOVE_Europe: Let's all have a minute of silence for all us Europeans who are yet to watch #TheSkyIsPink ONE FULL MONTH AFTER ITS REL\xe2\x80\xa6""",10,TheSkyIsPink,978,279,0.425,4
11/11/2019 16:11,"b""RT @PC_LOVE_Europe: Let's all have a minute of silence for all us Europeans who are yet to watch #TheSkyIsPink ONE FULL MONTH AFTER ITS REL\xe2\x80\xa6""",10,TheSkyIsPink,2270,461,0.425,4
11/11/2019 16:08,"b""Let's all have a minute of silence for all us Europeans who are yet to watch #TheSkyIsPink ONE FULL MONTH AFTER ITS\xe2\x80\xa6 https://t.co/YJEp7G7CxJ""",10,TheSkyIsPink,1860,195,0.35,4
11/11/2019 14:40,b'RT @PRDMovieReviews: HUGE \xf0\x9f\x94\xa5\xf0\x9f\x94\xa5#TheSkyIsPink will be the opening film of #R2RFIFF2019\xf0\x9f\x91\x8f\n\nDirected by #ShonaliBose.\nFt.@priyankachopra @FarOutAk\xe2\x80\xa6',29,TheSkyIsPink,2333,4482,0.4,4
11/11/2019 14:03,"b'@PrabhasRaju Highest Net Gross of 2019, #Bala enters Top 22. #SaandKiAankh goes past #TheSkyIsPink. List updated \xe2\xac\x86\xef\xb8\x8f'",0,Bala,63169,24,0.0625,4
11/11/2019 13:36,b'RT @PRDMovieReviews: HUGE \xf0\x9f\x94\xa5\xf0\x9f\x94\xa5#TheSkyIsPink will be the opening film of #R2RFIFF2019\xf0\x9f\x91\x8f\n\nDirected by #ShonaliBose.\nFt.@priyankachopra @FarOutAk\xe2\x80\xa6',29,TheSkyIsPink,978,279,0.4,4
11/11/2019 13:09,b'RT @PRDMovieReviews: #TheSkyIsPink\xc2\xa0\xc2\xa0 Week5 in a few screens!! 24cr+ at BO! #SteadyRun \n\nWeek1 17.52cr\nWeek2 5.60cr\nWeek3 0.83cr\nWeek4 0.36c\xe2\x80\xa6',21,TheSkyIsPink,1436,28,-0.2,0
